alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.01,0.039,10,3,0.9911111111111112,0.3,33.21066281867833,0.6455555555555555
0.01,0.04,10,4,0.990909090909091,0.4,26.021535312532613,0.6954545454545455
0.01,0.043,10,7,0.9760479041916168,0.7,20.562961342964684,0.8380239520958084
0.01,0.056,10,3,0.9902439024390244,0.3,28.997148766573787,0.6451219512195122
0.01,0.049,10,2,0.9921875,0.2,28.16972470313791,0.59609375
0.01,0.05,10,4,1.0,0.4,32.23107823698418,0.7
0.01,0.1,10,2,1.0,0.2,25.93190770692515,0.6
0.01,0.3,10,3,0.9813953488372092,0.3,22.96631428242751,0.6406976744186046
0.05,0.039,10,3,1.0,0.3,29.952673131651494,0.65
0.05,0.04,10,2,0.9956896551724138,0.2,29.792917975207736,0.5978448275862069
0.05,0.043,10,1,1.0,0.1,26.921941114114297,0.55
0.05,0.056,10,8,1.0,0.8,25.009700255064608,0.9
0.05,0.049,10,6,1.0,0.6,23.905892823127978,0.8
0.05,0.05,10,0,1.0,0.0,28.387854647032903,0.5
0.05,0.1,10,7,0.8728323699421965,0.7,4.549905022938324,0.7864161849710982
0.05,0.3,10,2,1.0,0.2,28.47710737723697,0.6
0.2,0.039,10,0,1.0,0.0,28.132382894217784,0.5
0.2,0.04,10,5,1.0,0.5,32.60543064205424,0.75
0.2,0.043,10,0,0.9333333333333333,0.0,-3.644476607809178,0.4666666666666667
0.2,0.056,10,4,0.9010989010989011,0.4,12.033923927830964,0.6505494505494506
0.2,0.049,10,0,0.952,0.0,14.02399013648306,0.476
0.2,0.05,10,6,0.9824561403508771,0.6,21.518401562096347,0.7912280701754386
0.2,0.1,10,1,1.0,0.1,33.682658545999566,0.55
0.2,0.3,10,6,0.989010989010989,0.6,24.490972042528433,0.7945054945054946
0.3,0.039,10,0,0.9921568627450981,0.0,32.2132190989513,0.49607843137254903
0.3,0.04,10,0,0.9957446808510638,0.0,29.699910455603117,0.4978723404255319
0.3,0.043,10,5,1.0,0.5,29.658668973312928,0.75
0.3,0.056,10,8,0.9878787878787879,0.8,23.545520329769086,0.893939393939394
0.3,0.049,10,1,0.9956521739130435,0.1,25.901303931016542,0.5478260869565218
0.3,0.05,10,3,0.9851485148514851,0.3,17.52581615635213,0.6425742574257426
0.3,0.1,10,3,1.0,0.3,27.39739921789365,0.65
0.3,0.3,10,9,0.9879518072289156,0.9,22.878222648937005,0.9439759036144578
0.73,0.039,10,2,0.9861111111111112,0.2,18.98430297075479,0.5930555555555556
0.73,0.04,10,2,1.0,0.2,29.836816487144795,0.6
0.73,0.043,10,0,1.0,0.0,29.29753162420917,0.5
0.73,0.056,10,1,0.9910714285714286,0.1,28.275404775000833,0.5455357142857143
0.73,0.049,10,7,1.0,0.7,25.55237358412808,0.85
0.73,0.05,10,9,0.9880239520958084,0.9,24.257056835305534,0.9440119760479042
0.73,0.1,10,3,1.0,0.3,33.86032218886907,0.65
0.73,0.3,10,3,0.9950980392156863,0.3,28.422569760616348,0.6475490196078432
0.8,0.039,10,1,1.0,0.1,30.016522867399214,0.55
0.8,0.04,10,1,0.9957081545064378,0.1,28.482059838459286,0.5478540772532189
0.8,0.043,10,9,1.0,0.9,23.996527873459968,0.95
0.8,0.056,10,3,1.0,0.3,26.520525412675152,0.65
0.8,0.049,10,0,0.9918367346938776,0.0,26.66141135812648,0.4959183673469388
0.8,0.05,10,9,0.9803921568627451,0.9,18.103558067458756,0.9401960784313725
0.8,0.1,10,0,1.0,0.0,29.74360641423748,0.5
0.8,0.3,10,9,0.9924242424242424,0.9,21.851946921262233,0.9462121212121213
0.96,0.039,10,0,1.0,0.0,26.770594825619373,0.5
0.96,0.04,10,5,0.9895287958115183,0.5,25.133594354910628,0.7447643979057592
0.96,0.043,10,3,0.9956140350877193,0.3,28.56484052488766,0.6478070175438596
0.96,0.056,10,2,0.8391304347826087,0.2,-32.50204777549315,0.5195652173913043
0.96,0.049,10,9,0.9871794871794872,0.9,21.723985952604142,0.9435897435897436
0.96,0.05,10,5,1.0,0.5,27.323186793650336,0.75
0.96,0.1,10,3,0.9907407407407407,0.3,25.489299025460134,0.6453703703703704
0.96,0.3,10,0,0.9958333333333333,0.0,30.444186168294465,0.4979166666666667
0.97,0.039,10,5,1.0,0.5,26.274534148359766,0.75
0.97,0.04,10,0,1.0,0.0,34.743872837538866,0.5
0.97,0.043,10,5,0.9888888888888889,0.5,27.345508700202764,0.7444444444444445
0.97,0.056,10,1,0.99581589958159,0.1,29.655127086099544,0.547907949790795
0.97,0.049,10,4,1.0,0.4,28.95886599623598,0.7
0.97,0.05,10,1,1.0,0.1,29.777363571458967,0.55
0.97,0.1,10,0,0.996,0.0,31.132157851832517,0.498
0.97,0.3,10,8,0.9931506849315068,0.8,21.946977677403872,0.8965753424657534
0.989,0.039,10,0,1.0,0.0,30.23411099647699,0.5
0.989,0.04,10,5,0.953125,0.5,19.814910037999745,0.7265625
0.989,0.043,10,0,0.9877551020408163,0.0,29.83897293979179,0.49387755102040815
0.989,0.056,10,0,1.0,0.0,32.55468238942515,0.5
0.989,0.049,10,2,0.9953917050691244,0.2,28.887016616561226,0.5976958525345623
0.989,0.05,10,2,0.9917355371900827,0.2,30.966845737897785,0.5958677685950413
0.989,0.1,10,1,0.9906542056074766,0.1,21.869072573099924,0.5453271028037383
0.989,0.3,10,2,0.9294605809128631,0.2,7.833700382302519,0.5647302904564315
0.99,0.039,10,9,1.0,0.9,25.682991712967038,0.95
0.99,0.04,10,0,0.9836734693877551,0.0,21.090178866113405,0.49183673469387756
0.99,0.043,10,2,1.0,0.2,28.87849249648574,0.6
0.99,0.056,10,2,0.9715639810426541,0.2,20.325035977327474,0.5857819905213271
0.99,0.049,10,3,0.9819819819819819,0.3,20.511099207998694,0.640990990990991
0.99,0.05,10,1,0.9960474308300395,0.1,29.946746102944918,0.5480237154150198
0.99,0.1,10,4,0.9903381642512077,0.4,30.982477141889422,0.6951690821256038
0.99,0.3,10,0,1.0,0.0,32.37028519197836,0.5
0.991,0.039,10,6,0.9947089947089947,0.6,28.04252164745016,0.7973544973544973
0.991,0.04,10,2,1.0,0.2,31.104075072489604,0.6
0.991,0.043,10,4,1.0,0.4,31.056109820323805,0.7
0.991,0.056,10,4,1.0,0.4,30.969349379082438,0.7
0.991,0.049,10,1,1.0,0.1,29.051715140413272,0.55
0.991,0.05,10,8,1.0,0.8,18.47041423932436,0.9
0.991,0.1,10,1,0.9910714285714286,0.1,27.08058961422475,0.5455357142857143
0.991,0.3,10,0,1.0,0.0,28.38389370162215,0.5
