alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.04,0.8,500,108,0.9966807212702969,0.216,29.975791148983948,0.6063403606351485
0.04,0.97,500,376,0.9952044422009086,0.752,24.083972235487312,0.8736022211004544
0.04,0.989,500,195,0.982905138339921,0.39,27.19938591193341,0.6864525691699606
0.04,0.99,500,345,1.0,0.69,25.961772330355394,0.845
0.04,0.991,500,200,0.9958745082989542,0.4,28.74799920672589,0.697937254149477
0.056,0.8,500,194,0.9924376350422314,0.388,28.49662242333714,0.6902188175211157
0.056,0.97,500,55,0.9801885145749695,0.11,25.34858391613553,0.5450942572874847
0.056,0.989,500,21,0.9912295640326976,0.042,26.988746511019514,0.5166147820163488
0.056,0.99,500,116,0.9987626118408528,0.232,28.81781711267959,0.6153813059204264
0.056,0.991,500,308,0.997980477953551,0.616,27.074247696386166,0.8069902389767756
0.05,0.8,500,362,0.9948124019785257,0.724,24.848066548639544,0.8594062009892629
0.05,0.97,500,317,0.968630031808709,0.634,18.783960090813146,0.8013150159043545
0.05,0.989,500,148,0.9252414561664191,0.296,6.482643495890597,0.6106207280832096
0.05,0.99,500,294,0.9890975820379966,0.588,26.47087651915974,0.7885487910189983
0.05,0.991,500,202,0.9962704877809402,0.404,29.876651992365716,0.7001352438904701
