alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.01,0.039,10,0,1.0,0.0,29.572193012928683,0.5
0.01,0.04,10,4,0.9897435897435898,0.4,22.23085122724073,0.6948717948717948
0.01,0.043,10,2,1.0,0.2,29.065067871453863,0.6
0.01,0.056,10,0,1.0,0.0,30.154534346313397,0.5
0.01,0.049,10,7,0.9949238578680203,0.7,28.375136127549297,0.8474619289340102
0.01,0.05,10,1,1.0,0.1,27.136994412156774,0.55
0.01,0.1,10,5,1.0,0.5,29.587710717714156,0.75
0.01,0.3,10,5,1.0,0.5,28.02047534035838,0.75
0.05,0.039,10,1,0.9960159362549801,0.1,30.167840498299505,0.5480079681274901
0.05,0.04,10,4,1.0,0.4,28.273993154760785,0.7
0.05,0.043,10,4,0.9911111111111112,0.4,26.519700848477946,0.6955555555555556
0.05,0.056,10,6,0.9897435897435898,0.6,27.17744755239418,0.7948717948717949
0.05,0.049,10,3,0.991304347826087,0.3,23.13805798164674,0.6456521739130435
0.05,0.05,10,5,0.9890710382513661,0.5,22.125613967574083,0.744535519125683
0.05,0.1,10,4,1.0,0.4,29.199958937739506,0.7
0.05,0.3,10,0,0.9904761904761905,0.0,26.498337830633194,0.49523809523809526
0.2,0.039,10,3,0.9955555555555555,0.3,32.84295529364754,0.6477777777777778
0.2,0.04,10,1,0.9700854700854701,0.1,27.763405504775015,0.535042735042735
0.2,0.043,10,0,0.9877551020408163,0.0,27.665212152317718,0.49387755102040815
0.2,0.056,10,0,1.0,0.0,35.060645467543786,0.5
0.2,0.049,10,5,0.9947643979057592,0.5,25.73468641632096,0.7473821989528796
0.2,0.05,10,6,1.0,0.6,25.233295202175135,0.8
0.2,0.1,10,0,0.9955555555555555,0.0,24.638293502031637,0.49777777777777776
0.2,0.3,10,1,1.0,0.1,32.05657566131467,0.55
0.3,0.039,10,3,1.0,0.3,27.30388868655178,0.65
0.3,0.04,10,1,1.0,0.1,26.07784498518054,0.55
0.3,0.043,10,5,0.9954337899543378,0.5,31.387124581742928,0.7477168949771689
0.3,0.056,10,7,0.9712643678160919,0.7,15.415585983783448,0.835632183908046
0.3,0.049,10,5,1.0,0.5,27.86222203130015,0.75
0.3,0.05,10,9,0.9807692307692307,0.9,20.717139314697746,0.9403846153846154
0.3,0.1,10,3,0.9906542056074766,0.3,24.727700053832287,0.6453271028037383
0.3,0.3,10,3,0.9951690821256038,0.3,28.14763186673424,0.6475845410628019
