alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.01,0.039,10,6,0.9899497487437185,0.6,28.077891950537627,0.7949748743718592
0.01,0.04,10,0,0.988,0.0,25.585971041546962,0.494
0.01,0.043,10,1,0.996,0.1,31.792739024599037,0.548
0.01,0.056,10,0,1.0,0.0,32.28806898667444,0.5
0.01,0.049,10,4,0.9902439024390244,0.4,21.67999198693851,0.6951219512195121
0.01,0.05,10,1,1.0,0.1,28.509921204368585,0.55
0.01,0.1,10,4,1.0,0.4,28.418606594373664,0.7
0.01,0.3,10,8,1.0,0.8,23.796932658889826,0.9
0.05,0.039,10,0,0.9956521739130435,0.0,24.34876615095803,0.49782608695652175
0.05,0.04,10,1,0.9845559845559846,0.1,27.214709351790322,0.5422779922779923
0.05,0.043,10,0,0.9869565217391304,0.0,24.568016343436007,0.4934782608695652
0.05,0.056,10,0,1.0,0.0,27.031160236671138,0.5
0.05,0.049,10,2,1.0,0.2,25.15969172894456,0.6
0.05,0.05,10,0,1.0,0.0,30.492328095191276,0.5
0.05,0.1,10,4,0.9863636363636363,0.4,24.12510957439266,0.6931818181818181
0.05,0.3,10,4,0.9681818181818181,0.4,25.421528500232807,0.6840909090909091
0.2,0.039,10,7,1.0,0.7,29.362491648021326,0.85
0.2,0.04,10,1,0.9919354838709677,0.1,31.384189753395475,0.5459677419354839
0.2,0.043,10,1,1.0,0.1,35.40939447448888,0.55
0.2,0.056,10,4,1.0,0.4,32.288364378432895,0.7
0.2,0.049,10,1,1.0,0.1,28.427794249223446,0.55
0.2,0.05,10,0,0.7957446808510639,0.0,3.303167383540115,0.39787234042553193
0.2,0.1,10,1,0.9872340425531915,0.1,23.720263682807392,0.5436170212765957
0.2,0.3,10,2,0.9953051643192489,0.2,29.51262219408297,0.5976525821596245
0.3,0.039,10,5,1.0,0.5,32.302884933574475,0.75
0.3,0.04,10,2,0.9883720930232558,0.2,29.400251836639796,0.5941860465116279
0.3,0.043,10,2,0.9956140350877193,0.2,31.57305256224538,0.5978070175438597
0.3,0.056,10,0,1.0,0.0,27.861296045139966,0.5
0.3,0.049,10,0,1.0,0.0,32.23573276919167,0.5
0.3,0.05,10,3,1.0,0.3,31.71478668471665,0.65
